id,sentiment,sentiment_new
"7141_1",1,1
"7405_4",1,1
"7516_7",1,1
"6592_1",1,1
"10392_2",1,1
"3176_9",1,1
"999_8",1,1
"8027_1",1,1
"8761_9",1,1
"5950_4",1,1
"770_3",1,1
"7459_10",1,1
"1546_1",1,1
"10232_1",1,1
"11050_1",1,0
"11068_1",1,1
"1536_10",1,1
"8590_8",1,1
"5017_4",1,1
"5222_7",1,1
"5041_1",1,0
"3598_4",1,1
"5899_10",1,1
"6261_1",1,1
"11454_3",1,1
"7904_10",1,1
"10479_10",1,1
"7914_8",1,1
"4352_1",1,1
"9929_3",1,1
"10178_10",1,1
"8697_8",1,1
"3584_1",1,0
"2670_8",1,1
"5724_3",1,1
"902_10",1,1
"1933_2",1,1
"9232_1",1,0
"9198_7",1,1
"10211_8",1,1
"7807_10",1,1
"12179_2",1,1
"1601_10",1,1
"10730_10",1,1
"3226_2",1,0
"5209_4",1,1
"6425_1",1,0
"1487_3",1,1
"5349_9",1,1
"6392_2",1,1
"10213_7",1,1
"7164_8",1,1
"4816_8",1,1
"5180_1",1,1
"7562_9",1,1
"3583_10",1,1
"100_4",1,1
"7239_7",1,1
"814_4",1,1
"6092_10",1,1
"643_7",1,1
"10219_4",1,1
"5425_10",1,1
"2565_8",1,1
"9166_4",1,1
"11771_7",1,1
"8932_1",1,0
"11886_1",1,1
"2817_10",1,1
"11234_10",1,1
"3795_9",1,1
"8238_10",1,1
"2239_8",1,1
"3860_1",1,1
"6897_7",1,1
"9050_3",1,1
"8274_1",1,0
"5967_7",1,1
"7899_8",1,1
"8806_9",1,1
"3315_8",1,1
"452_2",1,0
"10853_8",1,1
"1240_1",1,1
"3016_2",1,1
"3845_1",1,1
"249_7",1,1
"366_8",1,1
"10361_1",1,0
"4424_9",1,1
"9608_1",1,1
"3752_10",1,1
"11642_1",1,1
"9401_7",1,1
"7183_1",1,0
"10065_8",1,1
"9310_1",1,1
"10355_10",1,1
"12427_1",1,1
"4400_10",1,1
"10564_3",1,0
"12418_3",1,1
"985_4",1,1
"7671_3",1,1
"8855_10",1,1
"6691_3",1,1
"2577_1",1,1
"6921_8",1,1
"9304_1",1,1
"1765_1",1,0
"1653_10",1,1
"1132_1",1,1
"1100_9",1,1
"11700_4",1,1
"3289_10",1,1
"1829_8",1,1
"6576_10",1,1
"2938_10",1,1
"12041_7",1,1
"11548_3",1,1
"1974_1",1,1
"2491_4",1,1
"5136_2",1,1
"1190_1",1,1
"5587_8",1,1
"1880_4",1,1
"4062_1",1,1
"68_1",1,0
"10547_10",1,1
"3915_2",1,1
"3262_7",1,1
"7903_10",1,1
"3326_4",1,1
"1266_8",1,1
"3702_4",1,1
"3620_4",1,1
"12022_10",1,1
"9570_10",1,1
"5012_7",1,1
"2504_7",1,1
"11855_1",1,1
"2925_10",1,1
"897_1",1,1
"1163_1",1,1
"7785_10",1,1
"5058_3",1,1
"12201_1",1,0
"1236_7",1,1
"1421_1",1,0
"853_7",1,1
"2449_1",1,1
"316_10",1,1
"7651_10",1,1
"8004_10",1,1
"11979_1",1,1
"3704_8",1,1
"4307_9",1,1
"6411_2",1,1
"5468_10",1,1
"8589_8",1,1
"4476_8",1,1
"3812_10",1,1
"2717_8",1,1
"7237_4",1,1
"10887_3",1,0
"868_4",1,1
"7192_8",1,1
"1189_10",1,1
"4999_3",1,0
"11596_1",1,1
"9508_1",1,0
"12080_10",1,1
"1476_8",1,1
"8200_2",1,1
"610_9",1,1
"2149_3",1,0
"351_10",1,1
"638_1",1,0
"1683_9",1,0
"6259_4",1,0
"1677_10",1,1
"10652_4",1,1
"669_2",1,0
"4031_1",1,1
"2021_1",1,0
"737_7",1,1
"10636_8",1,1
"6739_3",1,1
"8507_1",1,1
"10388_10",1,1
"10161_1",1,1
"11968_8",1,1
"5028_4",1,1
"3171_4",1,1
"7004_8",1,1
"6983_4",1,1
"5945_10",1,1
"8077_7",1,1
"12292_10",1,1
"5216_1",1,1
"7515_9",1,1
"8615_4",1,1
"11025_4",1,1
"12273_9",1,1
"687_9",1,1
"63_1",1,0
"3810_2",1,0
"7072_8",1,1
"12098_10",1,1
"9464_8",1,1
"11619_1",1,1
"10835_9",1,1
"7213_10",1,1
"3286_7",1,1
"8742_3",1,1
"763_10",1,1
"2426_2",1,0
"9424_1",1,1
"4090_7",1,1
"4255_9",1,1
"6592_10",1,1
"789_1",1,1
"9264_10",1,1
"9744_1",1,1
"10102_8",1,1
"2324_2",1,1
"3223_7",1,1
"3956_10",1,1
"2092_10",1,1
"10519_8",1,1
"4605_4",1,1
"480_3",1,1
"2717_3",1,1
"4619_4",1,1
"541_1",1,1
"1164_9",1,1
"6157_9",1,1
"4363_10",1,1
"2530_9",1,1
"11171_3",1,1
"5644_1",1,1
"1892_2",1,0
"9087_2",1,1
"6722_10",1,1
"8047_1",1,0
"2641_3",1,0
"10373_2",1,1
"901_9",1,1
"10612_3",1,0
"11061_1",1,0
"1656_4",1,1
"4465_8",1,1
"8523_1",1,0
"9763_3",1,1
"4089_10",1,1
"5813_10",1,1
"3000_1",1,0
"977_4",1,1
"11239_3",1,1
"6823_4",1,1
"9776_10",1,1
"10575_1",1,0
"982_8",1,1
"3370_7",1,1
"1088_3",1,1
"4317_9",1,1
"9219_1",1,1
"2579_9",1,1
"8023_4",1,1
"11050_8",1,1
"1309_2",1,1
"12057_10",1,1
"2427_1",1,1
"11854_7",1,1
"4701_3",1,1
"2410_7",1,1
"4205_7",1,1
"6947_10",1,1
"11506_10",1,1
"8798_10",1,1
"4719_10",1,1
"11888_3",1,1
"10580_10",1,1
"1481_1",1,1
"11373_3",1,1
"8623_4",1,0
"2060_2",1,0
"7_9",1,1
"7067_1",1,1
"4533_8",1,1
"1051_10",1,1
"6831_8",1,1
"8847_10",1,1
"1862_8",1,1
"8342_9",1,1
"10238_7",1,1
"6012_8",1,1
"11309_1",1,1
"1971_3",1,1
"3267_8",1,1
"7001_4",1,1
"10735_10",1,1
"4322_10",1,1
"1029_2",1,0
"8899_7",1,1
"12263_10",1,1
"439_10",1,1
"12069_1",1,1
"2849_3",1,1
"12351_1",1,0
"5238_2",1,0
"11814_4",1,1
"10199_10",1,1
"3648_1",1,0
"4626_1",1,1
"3390_4",1,1
"4645_2",1,1
"8049_7",1,1
"4795_8",1,1
"7436_4",1,1
"10692_4",1,1
"7235_3",1,1
"5508_2",1,1
"8947_8",1,1
"8734_4",1,1
"4868_7",1,1
"1058_1",1,0
"7955_1",1,0
"4643_7",1,1
"12212_10",1,1
"11301_10",1,1
"10057_8",1,1
"8492_1",1,1
"4723_8",1,1
"7411_4",1,0
"6598_1",1,0
"11538_1",1,1
"8794_1",1,1
"8510_4",1,1
"1447_9",1,1
"6368_3",1,1
"11596_10",1,1
"10339_8",1,1
"11372_9",1,1
"11565_4",1,1
"2548_2",1,1
"6843_10",1,1
"2233_2",1,1
"10375_8",1,1
"11245_2",1,0
"10440_7",1,1
"6369_2",1,1
"7453_1",1,0
"2269_1",1,1
"2737_1",1,1
"10854_10",1,1
"10750_1",1,1
"11894_1",1,1
"2265_9",1,1
"4919_4",1,1
"12491_4",1,1
"6826_7",1,1
"4962_4",1,1
"52_4",1,1
"2382_7",1,1
"7215_3",1,1
"4270_4",1,0
"3473_10",1,1
"7379_7",1,1
"4226_9",1,1
"1484_4",1,1
"7548_1",1,1
"10159_4",1,1
"11488_1",1,1
"6190_1",1,1
"382_10",1,1
"1098_9",1,1
"7780_10",1,1
"12219_1",1,1
"10442_2",1,1
"8549_8",1,1
"399_1",1,1
"7773_2",1,1
"12376_4",1,1
"8462_7",1,1
"6079_7",1,1
"3377_9",1,1
"10673_4",1,1
"2011_1",1,1
"3216_10",1,1
"6748_3",1,1
"11989_3",1,1
"4010_9",1,1
"1966_9",1,1
"6670_3",1,1
"2008_1",1,1
"9007_2",1,1
"6956_8",1,1
"2563_1",1,0
"2902_2",1,1
"7404_8",1,1
"1611_2",1,1
"1433_3",1,1
"4466_9",1,1
"2554_4",1,1
"4826_1",1,0
"771_4",1,1
"654_9",1,1
"6662_9",1,1
"11697_7",1,1
"10043_10",1,1
"5999_1",1,0
"1357_9",1,1
"8999_2",1,0
"11937_3",1,1
"12444_10",1,1
"11972_1",1,1
"4067_8",1,1
"2499_3",1,1
"9893_3",1,1
"4198_10",1,0
"10039_8",1,1
"9766_3",1,1
"3210_10",1,1
"4579_4",1,1
"9591_4",1,1
"2412_2",1,0
"616_10",1,1
"7527_7",1,1
"11949_4",1,1
"4269_7",1,1
"7583_4",1,1
"7145_4",1,1
"8170_1",1,1
"3602_10",1,1
"2716_3",1,1
"447_10",1,1
"9675_9",1,1
"886_2",1,1
"2942_1",1,1
"3690_8",1,1
"724_10",1,1
"9643_3",1,1
"5530_3",1,0
"11984_1",1,1
"11955_9",1,1
"6421_1",1,0
"5884_3",1,1
"8154_10",1,1
"6961_9",1,1
"12414_1",1,1
"3136_1",1,1
"5754_10",1,1
"10194_1",1,1
"7221_3",1,1
"1424_10",1,1
"12443_10",1,1
"11179_10",1,1
"12404_10",1,1
"7841_4",1,1
"4298_8",1,1
"11582_7",1,1
"11998_8",1,1
"738_10",1,1
"960_3",1,0
"6568_8",1,1
"2137_9",1,1
"8692_8",1,1
"5646_10",1,1
"12400_8",1,1
"4901_4",1,1
"1955_10",1,1
"624_10",1,1
"1580_8",1,1
"1080_1",1,1
"11709_1",1,1
"12100_10",1,1
"4940_10",1,1
"8420_4",1,1
"4540_10",1,1
"6236_2",1,0
"134_8",1,1
"6539_2",1,1
"3048_10",1,1
"7046_3",1,1
"591_8",1,1
"1583_8",1,1
"3011_1",1,1
"3665_4",1,1
"5563_1",1,0
"7213_1",1,1
"11889_10",1,1
"5508_7",1,1
"6648_2",1,1
"4131_9",1,1
"398_8",1,1
"2266_3",1,1
"2409_1",1,0
"11757_9",1,1
"2110_4",1,0
"11044_1",1,0
"3996_10",1,1
"3766_10",1,1
"5707_1",1,0
"6344_9",1,1
"5153_4",1,1
"8321_10",1,1
"9722_7",1,1
"8572_10",1,1
"8159_7",1,1
"10402_8",1,1
"6683_9",1,1
"4227_1",1,1
"3249_9",1,1
"4721_3",1,1
"1871_2",1,0
"7521_10",1,1
"1809_7",1,1
"7761_10",1,1
"11570_1",1,1
"5826_10",1,1
"9960_10",1,1
"7182_7",1,1
"11385_4",1,1
"3460_8",1,1
"2602_10",1,1
"880_3",1,0
"8337_4",1,0
"11293_8",1,1
"1321_10",1,1
"10667_2",1,1
"3786_2",1,1
"9826_4",1,1
"5358_9",1,1
"4165_1",1,0
"4680_1",1,1
"2490_1",1,0
"12129_10",1,1
"9887_2",1,1
"7121_3",1,1
"4148_3",1,1
"5154_10",1,1
"2193_10",1,1
"788_10",1,1
"766_2",1,1
"6877_7",1,1
"11912_7",1,1
"10804_3",1,1
"3555_4",1,1
"3154_2",1,1
"9267_4",1,1
"10324_1",1,1
"1523_4",1,1
"11234_4",1,1
"6603_4",1,1
"4139_1",1,1
"9259_1",1,0
"9956_10",1,1
"11216_9",1,1
"8695_8",1,1
"7599_7",1,1
"4609_2",1,0
"1415_9",1,1
"758_3",1,0
"2145_3",1,1
"4486_7",1,1
"7484_1",1,1
"10110_1",1,1
"6073_4",1,1
"8185_9",1,1
"6038_3",1,1
"3836_10",1,1
"3378_10",1,1
"10265_3",1,1
"8614_7",1,1
"3156_10",1,1
"1114_4",1,1
"4290_4",1,1
"733_1",1,1
"11721_9",1,1
"3234_1",1,1
"2940_1",1,1
"7183_10",1,1
"11494_8",1,1
"9527_7",1,1
"1167_10",1,1
"7326_1",1,0
"10741_1",1,0
"11391_1",1,1
"10919_7",1,1
"12109_10",1,1
"4369_2",1,1
"7160_10",1,1
"266_4",1,1
"7063_9",1,1
"2323_3",1,1
"8992_8",1,1
"1259_1",1,1
"8492_7",1,1
"12132_8",1,1
"9459_9",1,1
"4870_2",1,1
"8344_7",1,1
"4898_4",1,1
"2871_8",1,1
"1198_10",1,1
"5501_3",1,1
"5121_1",1,1
"11658_4",1,1
"7951_3",1,1
"7977_7",1,1
"289_8",1,1
"1736_1",1,1
"5664_1",1,1
"4409_10",1,1
"6939_10",1,1
"2363_4",1,1
"3877_3",1,1
"10928_1",1,1
"3510_9",1,1
"1189_3",1,1
"817_1",1,1
"5019_9",1,1
"6325_9",1,1
"1874_9",1,1
"2724_1",1,1
"3148_2",1,1
"10049_8",1,1
"7119_2",1,1
"3044_7",1,1
"4352_9",1,1
"8447_10",1,1
"4219_10",1,1
"2825_3",1,1
"8516_10",1,1
"4659_10",1,1
"7420_7",1,1
"11668_9",1,1
"2391_2",1,1
"3799_8",1,1
"8530_10",1,1
"5567_10",1,1
"5364_10",1,1
"3953_9",1,1
"9143_1",1,0
"2860_4",1,1
"2059_1",1,1
"1731_3",1,1
"3838_9",1,1
"6630_1",1,1
"6380_9",1,1
"6113_10",1,1
"3353_4",1,1
"4260_1",1,0
"1401_10",1,1
"3729_4",1,0
"6214_4",1,1
"1412_7",1,1
"2859_8",1,1
"8325_2",1,1
"1139_10",1,1
"2344_10",1,1
"9651_3",1,1
"10464_10",1,1
"34_8",1,1
"212_4",1,1
"6635_10",1,1
"5672_7",1,1
"9449_10",1,1
"7887_7",1,1
"6723_1",1,0
"12324_10",1,1
"7323_1",1,1
"3757_8",1,1
"9228_10",1,1
"12152_4",1,1
"5021_8",1,1
"677_1",1,1
"9951_4",1,1
"1498_1",1,0
"2364_4",1,1
"3655_4",1,0
"1777_4",1,1
"635_2",1,1
"1930_3",1,1
"1023_3",1,1
"5452_4",1,1
"12413_2",1,1
"5850_2",1,0
"11715_3",1,1
"2944_1",1,0
"7237_10",1,1
"3445_2",1,1
"1474_7",1,1
"108_2",1,1
"4786_9",1,1
"11152_3",1,1
"11891_10",1,1
"11625_10",1,1
"7690_3",1,1
"11275_4",1,1
"5498_1",1,1
"8996_4",1,1
"367_3",1,1
"10051_2",1,0
"4519_10",1,1
"1328_1",1,1
"6696_2",1,0
"11326_1",1,1
"10820_8",1,1
"3485_7",1,1
"9689_10",1,1
"549_3",1,1
"8248_8",1,1
"2723_8",1,1
"6815_1",1,1
"5758_3",1,1
"8005_10",1,1
"7745_9",1,1
"7375_8",1,1
"4931_1",1,1
"2889_10",1,1
"11407_4",1,1
"10563_2",1,0
"2880_3",1,0
"10856_10",1,1
"10831_1",1,1
"4083_2",1,0
"1724_10",1,1
"1911_8",1,1
"3907_7",1,1
"10878_1",1,0
"4577_8",1,1
"3695_7",1,1
"6082_8",1,1
"7370_7",1,1
"4460_8",1,1
"7743_1",1,1
"1364_3",1,1
"10640_3",1,1
"7739_10",1,1
"92_8",1,1
"978_1",1,0
"62_2",1,0
"736_8",1,1
"8314_7",1,1
"5622_4",1,1
"271_7",1,1
"1177_3",1,1
"5520_10",1,1
"10982_1",1,1
"2535_3",1,1
"10185_10",1,1
"8538_8",1,1
"1561_3",1,1
"8368_10",1,1
"5256_8",1,1
"202_9",1,1
"10657_10",1,1
"948_1",1,1
"12319_1",1,0
"172_7",1,1
"11211_10",1,1
"3070_1",1,1
"5043_9",1,1
"4429_3",1,1
"4150_7",1,1
"9415_9",1,1
"1286_1",1,0
"3143_7",1,1
"8375_4",1,1
"7617_1",1,1
"3848_9",1,1
"8073_10",1,1
"10493_1",1,1
"9873_2",1,1
"376_2",1,1
"9381_9",1,1
"1056_8",1,1
"7202_10",1,1
"5219_7",1,1
"2082_8",1,1
"11455_3",1,1
"765_2",1,1
"8316_3",1,1
"3901_9",1,1
"11441_10",1,1
"6487_7",1,1
"854_7",1,1
"2666_4",1,1
"1245_8",1,1
"2852_2",1,0
"498_10",1,1
"6218_8",1,1
"8860_10",1,1
"5125_1",1,1
"11414_4",1,1
"8886_1",1,1
"7478_10",1,1
"8414_3",1,1
"8091_7",1,1
"1939_8",1,1
"2097_8",1,1
"12211_10",1,1
"9429_4",1,1
"9437_3",1,1
"6855_7",1,1
"5463_1",1,1
"453_9",1,1
"572_10",1,1
"11219_8",1,1
"11273_4",1,1
"732_8",1,1
"6331_10",1,1
"11778_10",1,1
"10592_8",1,1
"6943_4",1,1
"12390_4",1,1
"12457_8",1,1
"6022_8",1,1
"2048_4",1,1
"7748_2",1,0
"2791_3",1,1
"2798_2",1,0
"6265_2",1,0
"2385_9",1,1
"3963_7",1,0
"9410_1",1,0
"8335_1",1,1
"5836_10",1,1
"3326_9",1,1
"10539_8",1,1
"498_1",1,1
"4064_1",1,1
"7782_1",1,0
"10520_10",1,1
"3013_9",1,1
"4085_2",1,1
"11124_2",1,1
"9891_1",1,0
"5415_9",1,1
"10605_10",1,1
"7472_9",1,1
"5258_1",1,1
"5262_2",1,1
"3897_4",1,1
"242_10",1,1
"6432_9",1,1
"1482_10",1,1
"3097_1",1,1
"5518_10",1,1
"1695_7",1,1
"10374_10",1,1
"4884_4",1,1
"8146_4",1,1
"229_10",1,1
"11551_1",1,1
"11434_1",1,0
"74_10",1,1
"2245_1",1,1
"6308_8",1,1
"11067_10",1,1
"1999_1",1,0
"9425_7",1,1
"11650_1",1,0
"4489_10",1,1
"5210_4",1,1
"976_3",1,1
"5275_7",1,1
"7952_7",1,1
"3749_8",1,1
"11605_1",1,1
"10296_8",1,1
"7250_2",1,0
"7063_3",1,1
"6655_7",1,1
"6443_10",1,1
"11551_7",1,1
"6892_2",1,1
"4860_10",1,1
"7051_4",1,1
"7008_10",1,1
"9442_8",1,1
"4745_8",1,1
"12128_1",1,1
"11768_4",1,1
"1565_7",1,1
"8795_10",1,1
"794_7",1,1
"8732_8",1,1
"6449_1",1,0
"11199_4",1,0
"4655_1",1,0
"11567_9",1,1
"1298_8",1,1
"147_4",1,1
"1344_10",1,1
"253_10",1,1
"9276_4",1,1
"665_10",1,1
"2262_1",1,1
"8657_7",1,1
"3501_4",1,1
"9985_9",1,1
"11310_3",1,1
"11713_1",1,0
"11496_8",1,1
"2076_10",1,1
"7720_8",1,1
"9650_7",1,1
"11190_9",1,1
"7044_10",1,1
"241_7",1,1
"3039_4",1,1
"6917_4",1,0
"9599_2",1,1
"276_10",1,1
"5933_7",1,1
"2041_7",1,1
"12112_8",1,1
"10837_10",1,1
"6450_10",1,1
"5170_8",1,1
"11051_4",1,1
"10492_8",1,1
"9581_10",1,1
"10780_7",1,1
"3164_2",1,1
"3043_10",1,1
"3309_8",1,1
"5440_8",1,1
"6041_3",1,0
"8601_2",1,1
"6738_2",1,1
"6055_1",1,1
"742_8",1,0
"11437_9",1,1
"9023_3",1,1
"8966_4",1,1
"8412_10",1,1
"2333_2",1,1
"5759_10",1,1
"8585_8",1,1
"8574_10",1,1
"7171_9",1,1
"8455_7",1,1
"12157_7",1,1
"1486_9",1,1
"588_7",1,1
"8092_4",1,1
"9137_1",1,1
"11224_7",1,1
"8140_7",1,1
"3933_4",1,1
"1446_9",1,1
"10031_8",1,1
"8288_4",1,1
"9584_1",1,0
"4253_1",1,1
"3938_8",1,1
"6554_8",1,1
"3114_1",1,1
"4922_10",1,1
"2798_9",1,1
"11988_10",1,1
"9419_1",1,1
"8006_9",1,1
"5821_3",1,1
"161_3",1,1
"9442_1",1,0
"11876_10",1,1
"10180_8",1,1
"11142_10",1,1
"6022_3",1,0
"5752_7",1,1
"4094_1",1,0
"4635_10",1,1
"3699_9",1,1
"10684_3",1,1
"11492_10",1,1
"4470_4",1,1
"7430_8",1,1
"9149_3",1,1
"9220_8",1,1
"6349_9",1,1
"7670_2",1,1
"3580_10",1,1
"9949_3",1,1
"11574_10",1,1
"3375_7",1,1
"6369_9",1,1
"4102_10",1,1
"8437_10",1,1
"8566_8",1,1
"11721_2",1,1
"5911_3",1,1
"4769_8",1,1
"351_4",1,1
"2194_4",1,1
"11901_3",1,1
"11145_3",1,1
"64_10",1,1
"12282_10",1,1
"2095_3",1,1
"4435_1",1,1
"8146_9",1,1
"3005_10",1,1
"618_1",1,1
"3122_4",1,1
"8899_4",1,0
"1162_1",1,0
"9785_3",1,1
"6849_8",1,1
"8218_9",1,1
"7664_1",1,0
"9805_10",1,1
"9986_10",1,1
"5230_4",1,0
"10173_1",1,0
"8592_10",1,1
"8354_8",1,1
"3624_4",1,1
"856_3",1,1
"4027_1",1,0
"2905_7",1,1
"3809_9",1,1
"9625_2",1,1
"7890_2",1,1
"1020_2",1,1
"149_1",1,1
"11730_3",1,1
"3153_10",1,1
"10176_1",1,1
"3582_10",1,1
"7862_8",1,1
"8970_9",1,1
"3100_7",1,1
"2396_8",1,1
"11168_9",1,1
"8714_9",1,1
"8789_7",1,1
"11869_1",1,1
"5195_4",1,1
"11690_1",1,0
"1691_1",1,1
"761_2",1,1
"5716_10",1,1
"11868_1",1,1
"8938_8",1,1
"970_7",1,1
"11257_4",1,1
"5941_8",1,1
"10204_2",1,1
"10402_3",1,1
"2136_3",1,1
"1128_1",1,1
"9077_9",1,1
"2449_9",1,1
"2812_10",1,1
"9698_1",1,0
"9035_1",1,1
"11258_2",1,1
"12367_9",1,1
"4061_9",1,1
"6935_9",1,1
"8694_2",1,1
"10299_10",1,1
"19_1",1,0
"8943_3",1,1
"4514_3",1,1
"10823_9",1,1
"7813_3",1,1
"6761_3",1,1
"6090_1",1,1
"9086_3",1,1
"11729_4",1,1
"2576_1",1,1
"11975_2",1,1
"4727_10",1,1
"10187_10",1,1
"1921_8",1,1
"1014_8",1,1
"12301_10",1,1
"4622_1",1,0
"9038_10",1,1
"12415_8",1,1
"4395_1",1,1
"1987_10",1,1
"1504_1",1,0
"5864_1",1,1
"8275_10",1,1
"6641_3",1,1
"1640_1",1,1
"60_1",1,0
"106_9",1,1
"2271_3",1,1
"2157_2",1,1
"4795_1",1,0
"9980_8",1,1
"4360_2",1,0
"6663_3",1,1
"9472_8",1,1
"1577_8",1,1
"696_10",1,1
"1860_10",1,1
"7990_1",1,1
"2818_10",1,1
"7206_10",1,1
"4883_7",1,1
"2527_9",1,1
"11853_9",1,1
"12247_1",1,1
"8100_2",1,1
"3275_8",1,1
"5660_10",1,1
"554_4",1,1
"4569_2",1,1
"9378_7",1,1
"11212_4",1,1
"1372_10",1,1
"9918_1",1,1
"731_8",1,1
"11934_8",1,1
"47_2",1,1
"1846_4",1,0
"10510_7",1,1
"9813_10",1,1
"11773_10",1,1
"4207_2",1,1
"10019_8",1,1
"2881_3",1,0
"4911_7",1,1
"9251_2",1,1
"535_4",1,1
"12078_8",1,1
"7684_3",1,0
"4842_9",1,1
"10750_7",1,1
"11358_9",1,1
"8448_2",1,1
"4897_8",1,1
"11177_4",1,1
"8169_2",1,1
"444_2",1,1
"545_4",1,1
"5888_3",1,1
"10168_9",1,1
"2653_4",1,1
"9268_2",1,0
"3677_1",1,0
"5686_2",1,1
"10767_10",1,1
"5744_3",1,1
"12323_9",1,1
"573_3",1,1
"43_1",1,1
"4792_9",1,1
"8658_10",1,1
"2984_10",1,1
"2899_4",1,0
"4191_1",1,0
"8170_10",1,1
"11138_7",1,1
"6674_2",1,1
"7984_9",1,1
"12391_2",1,1
"6298_4",1,1
